STAT-00001 | 3.5573 | 2.8573 | 27.6265 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00002 | 2.7153 | 0.9603 | 38.2715 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00003 | 1.7382 | -1.0012 | 15.9462 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00004 | 0.6939 | -2.5492 | 12.2573 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00005 | -0.2515 | -3.2133 | 18.1126 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00006 | -0.9807 | -2.8489 | 17.6049 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00007 | -1.4855 | -1.6422 | 56.7173 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00008 | -1.7908 | 0.0358 | 83.7319 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00009 | -1.8646 | 1.5318 | 0.3605 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00010 | -1.7434 | 2.3230 | 43.8578 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00011 | -1.4718 | 2.2663 | 6.6116 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00012 | -1.0738 | 1.4589 | 29.5269 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00013 | -0.6136 | 0.2073 | 23.8046 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00014 | -0.2180 | -0.9932 | 11.7950 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00015 | 0.1065 | -1.7576 | 5.3955 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00016 | 0.4064 | -1.9287 | 6.6900 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00017 | 0.6678 | -1.5411 | 13.3063 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00018 | 0.8340 | -0.7918 | 0.4891 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00019 | 0.8529 | 0.0674 | 55.1519 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00020 | 0.7191 | 0.8255 | 26.5902 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00021 | 0.4757 | 1.3086 | 8.3292 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00022 | 0.1860 | 1.3950 | 8.9117 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00023 | -0.1105 | 1.0725 | 11.5016 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00024 | -0.4138 | 0.4508 | 10.5010 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00025 | -0.7278 | -0.2615 | 59.2134 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00026 | -1.0098 | -0.8069 | 11.9145 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00027 | -1.1993 | -0.9946 | 64.6296 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00028 | -1.2698 | -0.7869 | 4.3293 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00029 | -1.2272 | -0.2964 | 8.8435 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00030 | -1.0983 | 0.2616 | 26.9468 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00031 | -0.9165 | 0.6622 | 26.0261 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00032 | -0.7091 | 0.7753 | 11.8809 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00033 | -0.5059 | 0.5990 | 35.2722 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00034 | -0.3446 | 0.2332 | 69.6164 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00035 | -0.2565 | -0.1737 | 37.4475 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00036 | -0.2469 | -0.4834 | 23.9936 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00037 | -0.2994 | -0.6058 | 3.5702 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00038 | -0.3953 | -0.5174 | 85.6619 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00039 | -0.5222 | -0.2636 | 59.2720 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
